timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1568532916100,946,Domain,200,OK,HomePage 1-315,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,414,0,87
1568532916100,414,Domain-0,302,Found,HomePage 1-315,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,414,0,87
1568532916516,530,Domain-1,200,OK,HomePage 1-315,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,530,0,0
1568532916040,1015,Domain,200,OK,HomePage 1-129,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,475,0,147
1568532916040,475,Domain-0,302,Found,HomePage 1-129,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,475,0,147
1568532916515,540,Domain-1,200,OK,HomePage 1-129,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,540,0,0
1568532916099,975,Domain,200,OK,HomePage 1-338,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,415,0,86
1568532916038,1036,Domain,200,OK,HomePage 1-260,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,476,0,149
1568532916099,415,Domain-0,302,Found,HomePage 1-338,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,415,0,86
1568532916038,476,Domain-0,302,Found,HomePage 1-260,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,476,0,149
1568532916088,986,Domain,200,OK,HomePage 1-308,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,426,0,97
1568532916515,559,Domain-1,200,OK,HomePage 1-260,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,559,0,0
1568532916088,426,Domain-0,302,Found,HomePage 1-308,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,426,0,97
1568532916515,559,Domain-1,200,OK,HomePage 1-308,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,559,0,0
1568532916515,559,Domain-1,200,OK,HomePage 1-338,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,559,0,0
1568532916038,1045,Domain,200,OK,HomePage 1-245,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,475,0,147
1568532916101,982,Domain,200,OK,HomePage 1-336,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,414,0,86
1568532916038,476,Domain-0,302,Found,HomePage 1-245,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,475,0,147
1568532916101,414,Domain-0,302,Found,HomePage 1-336,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,414,0,86
1568532916515,568,Domain-1,200,OK,HomePage 1-336,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,568,0,0
1568532916516,567,Domain-1,200,OK,HomePage 1-245,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,567,0,0
1568532916100,988,Domain,200,OK,HomePage 1-111,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,414,0,87
1568532916100,414,Domain-0,302,Found,HomePage 1-111,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,414,0,87
1568532916515,573,Domain-1,200,OK,HomePage 1-111,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,573,0,0
1568532916089,1002,Domain,200,OK,HomePage 1-47,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,424,0,97
1568532916089,425,Domain-0,302,Found,HomePage 1-47,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,424,0,97
1568532916516,575,Domain-1,200,OK,HomePage 1-47,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,575,0,0
1568532916100,991,Domain,200,OK,HomePage 1-112,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,415,0,85
1568532916100,415,Domain-0,302,Found,HomePage 1-112,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,415,0,85
1568532916515,576,Domain-1,200,OK,HomePage 1-112,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,576,0,0
1568532916041,1051,Domain,200,OK,HomePage 1-264,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,472,0,147
1568532916041,473,Domain-0,302,Found,HomePage 1-264,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,472,0,147
1568532916515,577,Domain-1,200,OK,HomePage 1-264,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,577,0,0
1568532915948,1162,Domain,200,OK,HomePage 1-159,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1149,0,240
1568532915948,1149,Domain-0,302,Found,HomePage 1-159,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1149,0,240
1568532917098,12,Domain-1,200,OK,HomePage 1-159,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,12,0,0
1568532915947,1191,Domain,200,OK,HomePage 1-160,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1165,0,242
1568532915947,1165,Domain-0,302,Found,HomePage 1-160,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1165,0,242
1568532917112,26,Domain-1,200,OK,HomePage 1-160,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,26,0,0
1568532916101,1510,Domain,200,OK,HomePage 1-271,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,973,0,87
1568532916101,973,Domain-0,302,Found,HomePage 1-271,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,973,0,87
1568532917075,536,Domain-1,200,OK,HomePage 1-271,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,536,0,0
1568532916086,1532,Domain,200,OK,HomePage 1-21,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1001,0,102
1568532916086,1001,Domain-0,302,Found,HomePage 1-21,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1001,0,102
1568532917087,531,Domain-1,200,OK,HomePage 1-21,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,531,0,0
1568532915946,1679,Domain,200,OK,HomePage 1-157,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1152,0,242
1568532916042,1583,Domain,200,OK,HomePage 1-109,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1055,0,146
1568532915946,1152,Domain-0,302,Found,HomePage 1-157,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1152,0,242
1568532916042,1055,Domain-0,302,Found,HomePage 1-109,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1055,0,146
1568532917098,527,Domain-1,200,OK,HomePage 1-157,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,527,0,0
1568532917097,528,Domain-1,200,OK,HomePage 1-109,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,528,0,0
1568532915948,1680,Domain,200,OK,HomePage 1-165,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1151,0,241
1568532915948,1151,Domain-0,302,Found,HomePage 1-165,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1151,0,241
1568532917099,529,Domain-1,200,OK,HomePage 1-165,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,529,0,0
1568532916085,1545,Domain,200,OK,HomePage 1-103,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1014,0,103
1568532916085,1014,Domain-0,302,Found,HomePage 1-103,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1014,0,103
1568532917099,531,Domain-1,200,OK,HomePage 1-103,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,531,0,0
1568532915962,1671,Domain,200,OK,HomePage 1-20,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1140,0,227
1568532915962,1140,Domain-0,302,Found,HomePage 1-20,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1140,0,227
1568532917102,531,Domain-1,200,OK,HomePage 1-20,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,531,0,0
1568532916041,1595,Domain,200,OK,HomePage 1-124,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1067,0,148
1568532916041,1067,Domain-0,302,Found,HomePage 1-124,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1067,0,148
1568532917109,527,Domain-1,200,OK,HomePage 1-124,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,527,0,0
1568532915946,1697,Domain,200,OK,HomePage 1-153,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1166,0,242
1568532916086,1557,Domain,200,OK,HomePage 1-305,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1033,0,103
1568532915946,1166,Domain-0,302,Found,HomePage 1-153,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1166,0,242
1568532916086,1033,Domain-0,302,Found,HomePage 1-305,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1033,0,103
1568532917112,531,Domain-1,200,OK,HomePage 1-153,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,531,0,0
1568532917119,524,Domain-1,200,OK,HomePage 1-305,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,524,0,0
1568532916084,1572,Domain,200,OK,HomePage 1-57,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1561,0,108
1568532916084,1561,Domain-0,302,Found,HomePage 1-57,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1561,0,108
1568532917645,11,Domain-1,200,OK,HomePage 1-57,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,11,0,0
1568532916110,1561,Domain,200,OK,HomePage 1-282,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1036,0,80
1568532916110,1036,Domain-0,302,Found,HomePage 1-282,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1036,0,80
1568532917146,525,Domain-1,200,OK,HomePage 1-282,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,525,0,0
